"Additional Resources on PDF Accessibility",https://webguide.boisestate.edu/accessibility/additional-resources-pdf-accessibility/,
"Audio and Video Accessibility",https://webguide.boisestate.edu/accessibility/introduction/audio-video/,
"Charts, Maps and Infographics"",https://webguide.boisestate.edu/accessibility/complex-images/,
"Checking Your Work",https://webguide.boisestate.edu/accessibility/introduction/checking-your-work/,
"Creating Compliant Content – Headings",https://webguide.boisestate.edu/accessibility/introduction/content-headings/,
"Creating Compliant Content – Hyperlinks",https://webguide.boisestate.edu/accessibility/introduction/content-hyperlinks/,
"Creating Compliant Content – Images and Movement",https://webguide.boisestate.edu/accessibility/introduction/content-images/,
"Creating Compliant Content – Instructions and Descriptions",https://webguide.boisestate.edu/accessibility/introduction/content-instructions/,
"Creating Compliant Content – Text",https://webguide.boisestate.edu/accessibility/introduction/content-text/,
"Document Accessibility",https://webguide.boisestate.edu/accessibility/document-accessibility/,
"Document Accessibility",https://webguide.boisestate.edu/accessibility/introduction/documents/,
"enrollment longdesc",https://webguide.boisestate.edu/accessibility/enrollment-longdesc/,
"How to Review Document Accessibility on Your Site",https://webguide.boisestate.edu/accessibility/review-document-accesibility-page/,
"How to Review Existing PDF Documents",https://webguide.boisestate.edu/accessibility/review-existing-pdf-documents/,
"Image link has no alternative text",https://webguide.boisestate.edu/accessibility/priority-issues/image-link-no-alternative-text/,
"Introduction to Web Accessibility",https://webguide.boisestate.edu/accessibility/introduction/,
"Legal Obligations",https://webguide.boisestate.edu/accessibility/introduction/legal-obligations/,
"Lessons Learned",https://webguide.boisestate.edu/accessibility/introduction/lessons-learned/,
"Making a PowerPoint Accessible",https://webguide.boisestate.edu/accessibility/making-powerpoint-accessible-windows/,
"Making a Word Document Accessible with a Mac",https://webguide.boisestate.edu/accessibility/making-word-document-accessible-mac/,
"Making a Word Document Accessible with Windows",https://webguide.boisestate.edu/accessibility/making-word-document-accessible-windows/,
"Microsoft PowerPoint Accessibility",https://webguide.boisestate.edu/accessibility/microsoft-powerpoint-accessibility/,
"Microsoft Word Accessibility",https://webguide.boisestate.edu/accessibility/microsoft-word-accessibility/,
"PDF Accessibility",https://webguide.boisestate.edu/accessibility/pdf-accessibility/,
"PowerPoint Accessibility Checker",https://webguide.boisestate.edu/accessibility/powerpoint-accessibility-checker/,
"Priority Issues",https://webguide.boisestate.edu/accessibility/priority-issues/,
"Repairing PDFs with Acrobat Pro DC",https://webguide.boisestate.edu/accessibility/repairing-pdfs-acrobat-pro-dc/,
"Siteimprove Accessibility Report",https://webguide.boisestate.edu/accessibility/siteimprove-accessibility-report/,
"Siteimprove Status",https://webguide.boisestate.edu/accessibility/siteimprove-status/,
"Tables",https://webguide.boisestate.edu/accessibility/introduction/content-tables/,
"Text in image",https://webguide.boisestate.edu/accessibility/text-in-image/,
"Tools for Repairing PDF Documents",https://webguide.boisestate.edu/accessibility/repair-pdf-documents/,
"Using longdesc",https://webguide.boisestate.edu/accessibility/using-longdesc/,
"Using Siteimprove for Web Accessibility",https://webguide.boisestate.edu/accessibility/using-siteimprove-web-accessibility/,
"Video Accessibility",https://webguide.boisestate.edu/accessibility/video-accessibility/,
"Web Accessibility at Boise State University",https://webguide.boisestate.edu/accessibility/,
"Web Content Accessibility Guidelines (WCAG) 2.0",https://webguide.boisestate.edu/accessibility/introduction/wcag/,
"Word Accessibility Checker",https://webguide.boisestate.edu/accessibility/accessibility-checker/,
"YouTube Accessibility",https://webguide.boisestate.edu/accessibility/youtube-accessibility/
